murdPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,nonViolPerPop,arsonsPerPop
26.88,419.89,966.77,2221.81,5673.63,991.8,8903.93,16.68
27.26,444.61,904.55,2987.92,3424.02,880.7,7371,78.36
5.02,197.91,154.42,889.74,2509.23,806.68,4246.34,40.7
2.39,242.88,477.55,1360.48,3938.78,838.8,6171.23,33.18
26.59,1174.95,857.68,1355.37,3212.39,1536.49,6164.95,60.7
13.75,106.72,564.37,1126.13,4089.41,680.91,5948.83,52.38
27.27,607.12,2038.09,2109.86,2818.88,1254.43,6269.29,86.12
3.0,843.97,216.25,1417.63,5271.06,663.76,7394.5,42.05
13.89,492.02,368.86,1698.29,4707.51,1394.26,7910.25,110.19
28.7,753.74,445.86,988.14,2561.1,1554.73,5253.14,149.17
4.47,159.32,522.63,833.83,3448.48,273.97,4630.73,74.45
8.14,346.59,1279.37,1638.17,3504.88,935.68,6179.34,100.6
9.78,198.68,691.36,1636.29,7128.3,1142.94,9943.53,36
12.65,502.59,1221.7,1710.56,5890.68,1844.43,9577.37,131.7
8.64,309.54,280.75,1138.83,2948.59,1226.66,5352.95,38.87
18.39,1035.08,964.85,2856.93,6453.8,1566,10988.76,112.04
6.63,581.91,1292,2924.3,7882.35,1521.08,12349.83,22.1
8.49,294.21,1111.77,1362.13,5725.76,646.41,7742.79,8.49
31.04,1108.27,1224.31,1449.19,3435.8,1724.19,6756.86,147.68
6.63,180.65,550.63,1377.35,5595.64,372.53,7383.29,37.76
1.83,117.89,307.06,1006.18,3684.75,237.61,4960.52,31.99
1.77,507.07,321.55,1590.11,2068.9,950.53,4621.91,12.37
34.55,747.84,1804.45,2896.34,5542.92,1660.5,10343.04,243.28
12.05,749.76,696.72,1921.41,4722.76,812.44,7502.41,45.81
14.83,1022.83,2112.58,3100.23,6393.64,2922.91,12490.6,73.82
30.42,712.03,905.78,2012.79,5199.46,1675.96,9015.27,127.05
7.66,708.13,426.16,1940.67,4289.63,746.41,7043.06,66.35
58.83,1105.38,1982.21,2435.91,4283.48,1651.85,8497.95,126.72
5.05,186.01,227.45,1263.62,4971.59,985.63,7247.12,26.28
28.9,852.46,704.76,1554.92,3235.53,1748.95,6595.13,55.73
7.08,62.51,260.67,1013.2,3852.28,316.11,5198.1,16.51
1.06,44.67,229.72,732.78,3165.08,274.39,4176.5,4.25
17.16,369.77,892.47,2144.85,6287.86,1188.04,9710.83,90.08
2.72,244.88,261.2,976.79,2671.89,982.23,4674.45,43.53
9.74,302.07,4058.51,1593.2,4972.05,534.72,7203.5,103.53
0.0,89.63,32.59,729.24,3837.69,879.98,5457.1,10.18
2.15,77.53,348.87,889.42,4052.98,174.44,5127.6,10.77
10.51,283.66,308.61,1206.22,5256.94,447.16,6957.6,47.28
4.16,203.79,910.83,2075.36,6151.22,349.36,8754.78,178.84
0.0,49.07,198.32,631.77,2681.43,234.1,3574.9,27.6
2.92,170.76,242.28,1790.8,2770.12,1120.89,5702.23,20.43
10.81,283.33,387.45,1606.12,7300.09,794.81,9746.54,45.52
15.01,423.65,1254.27,1404.39,6881.83,600.45,8930.03,43.37
23.93,992.12,966.35,1919.82,4384.48,749.15,7093.95,40.49
24.33,927.67,887.34,2431.86,4069.85,1766.67,8407.3,138.93
26.59,571.68,698.58,3332.17,5991.13,634.53,9960.24,2.42
58.06,1362.78,1303.42,2315.46,4293.41,2813.71,9544.8,122.23
5.43,798.32,957.62,2889.16,7293.5,590.14,10816.24,43.45
15.85,1182.19,1268.05,1487.31,3271.82,2013.02,6879.15,106.99
23.0,579.07,323.33,1998.54,5084.84,789.52,7902.86,29.96
1.69,30.34,20.23,318.56,1759.68,237.66,2326.01,10.11
22.62,614.62,608.76,2149.82,4967.47,2097.94,9258.87,43.64
11.06,505.92,944.11,3034.16,8024.27,1953.2,13032.36,20.73
2.5,107.37,146.07,608.01,2334.64,300.88,3274.74,31.21
4.22,59.14,288.64,1492.47,2823.03,492.8,4864.62,56.32
0.0,182.78,308.12,1535.37,3579.91,1128.03,6256.36,13.06
17.92,432.92,544.22,2457.93,5494.04,745.11,8755.56,58.48
16.15,1508.01,802.44,2518.73,3327.63,3912.1,9811.74,53.28
5.96,241.53,512.88,1323.95,3909.23,2006.8,7242.96,2.98
17.47,1144.95,598.75,1510.49,4680.3,1497.35,7754.23,66.09
1.76,163.36,158.09,1039.91,2944.07,526.98,4526.77,15.81
10.29,818.44,767,1727.17,7065.29,2004.94,10954,156.6
6.45,392.35,317.75,920.08,3003.4,347.22,4328.73,58.02
17.24,433,936.5,1651.02,4610.43,561.48,6864.2,41.26
14.63,368.3,577.65,1804.51,3530.34,1494.14,6915.98,86.98
16.44,136.96,882.05,1019.01,4656.77,392.63,6101.28,32.87
19.03,472.19,306.14,1525.53,4815.28,541.37,6934.07,51.89
16.47,226.41,605.13,1289.84,4023.22,430.86,5763.14,19.21
12.16,39.24,737.3,1161.22,4016.47,378.05,5590.56,34.82
3.5,40.83,359.35,603.19,2851.44,742.03,4252.66,56
0.0,39.67,88.16,469.44,2613.89,222.6,3321.36,15.43
1.02,161.1,109.1,818.74,3806.15,465.45,5118.88,28.55
15.91,821.72,434.26,1732.35,3797.88,2016.86,7568.62,21.53
16.55,783.41,715.07,2345.21,2934.38,1311.44,6672.33,81.29
2.34,86.42,96.93,748.6,4370.17,325.84,5492.49,47.88
32.31,814.75,2054.34,3293.5,7927.45,1749.14,13039.07,68.99
40.67,1201.21,775.5,1410.91,2034.56,2069.81,5569.51,54.23
1.93,44.43,329.35,622.01,3252.97,230.84,4114.51,8.69
14.32,303.06,897.52,1907.98,3391.21,1179.1,6544.31,66.02
5.09,142.65,41.77,1301.14,3602.83,456.47,5388.97,28.53
27.66,688.14,855.5,1578.22,2573.43,1272.54,5693.22,269.03
37.61,628.25,2470.95,3205.38,7911.69,1150.86,12364.16,96.23
6.47,271.59,254.35,1558.42,3610.46,448.34,5701.29,84.06
13.26,633.41,1473.06,2191.91,8060.57,1222.64,11491.32,16.2
5.52,937.02,824.73,2925.2,5283.41,2623.29,10855.84,23.93
42.54,771.31,522.23,3623.87,5946.51,2077.66,11722.35,74.31
27.32,822.52,629.58,2399.53,5282.53,1638.91,9465.95,144.99
0.0,169.08,183.17,412.64,4430.35,559.58,5410.63,8.05
7.96,264.48,714.99,956.09,4988.01,939.66,6961.87,78.11
9.88,79.03,181.12,1738.76,4674.56,433.04,6885.88,39.52
44.9,848.7,2083.42,2595.38,4604.89,1968.99,9248.11,78.85
27.74,709.86,365.33,2747.57,5860.05,1280.18,10038.61,150.81
2.28,43.27,145.74,1184.17,3426.13,343.87,4965.56,11.39
6.21,312.7,904.97,2323.51,3236.76,2030.48,7762.64,171.88
4.11,297.71,1197,1885.84,5698.59,426.03,8078.23,67.75
11.21,330.02,462.45,1223.37,3900.1,366.56,5502.07,12.04
50.42,1985.69,1386.62,4848.97,4713.31,2180.18,12109.83,367.36
18.06,594.18,663.58,1290.08,2076.3,1139.87,4576.61,70.35
7.37,309.75,228.68,1683.8,7100.74,867.9,9773.95,121.51
1.7,50.98,83.28,540.44,1638.31,446.97,2659.71,33.99
11.27,222.3,312.45,120.88,4505.41,322.69,5007.38,58.39
34.34,873.3,1436.88,2717.1,5299.3,1904.84,10039.52,118.28
10.37,465.18,243.51,918.34,2507.7,1019.9,4494.53,48.59
10.38,121.6,197.22,1362.77,3548.55,570.91,5492.62,10.38
4.98,144.13,449.54,730.88,2600.49,487.82,3857.83,38.65
21.82,696.01,2605.11,2526.56,8356.42,741.82,11646.63,21.82
22.42,593.04,1106.32,1964.73,4846.13,546.18,7428.52,71.49
24.57,458.48,1378.03,2033.1,5113.13,1458.22,8666.52,62.08
10.31,508.49,359.03,1302.14,1602.76,1169.86,4078.2,3.44
2.99,317.76,166.35,823.78,1721.27,1152.49,3743.36,45.82
20.37,575.34,422.05,2369.29,4815.22,745.62,7955.35,25.23
21.06,637.58,1361.33,2000.82,7003.84,720.87,9737.98,12.45
1.55,109.78,136.06,844.22,3718.59,620.02,5201.39,18.55
16.44,608.55,390.78,2043.9,4548.25,1106.89,7860.14,161.1
0.0,108.92,422.53,1451.62,2069.44,922.05,4499.45,56.34
10.91,316.52,619.39,1101.67,3018.5,783.1,4941.47,38.2
2.13,269.58,685.14,989.88,3799.68,1031.43,5843.37,22.38
5.72,307.64,384.91,1549.64,4099.47,1001.62,6652.17,1.43
49.56,1737.69,1200.21,2513.45,5820.06,1491.56,9901.59,76.52
8.24,139.04,563.38,2145.37,7936.72,1400.72,11503.4,20.6
0.0,209.9,157.42,981.7,2000.57,1316.22,4309.42,10.93
63.94,999.36,1029.27,1651.16,1799.67,1531.53,5011.24,28.88
31.99,866.91,617.79,2474.07,3785.9,2146.92,8501.39,94.51
11.64,251.13,886.44,1140.9,4403.11,582.09,6197.61,71.51
13.36,410.67,1190.28,2343.83,4008.21,1248.71,7692.56,91.82
0.0,175.95,333.38,1426.12,4083.9,407.46,5922.12,4.63
2.26,54.33,245.6,795.66,3601.42,393.87,4810.2,19.24
3.55,121.62,411.04,1218.02,3830.72,760.82,5835.3,25.75
2.46,440.05,727.68,2042.92,3864.59,585.1,6534.41,41.79
2.78,194.39,213.83,1266.31,3424.05,991.39,5695.64,13.89
3.74,254.26,523.47,1235.14,4179.03,1496.87,6927.24,16.2
1.66,129.61,93.05,963.78,2512.46,353.94,3845.13,14.96
20.02,618.49,609.59,1332.65,3565.6,1002.64,5938.71,37.82
1.85,126.29,556.9,1436.61,4444.73,836.89,6744.72,26.49
9.93,233.28,177.97,682.11,3922.46,397.78,5054.1,51.76
45.39,252.87,3486.14,1638.25,6741.01,618.12,8997.38,0
5.8,200.22,631.14,1057.7,4465.85,677.57,6260.61,59.49
9.07,224.06,556.21,741.62,4205.13,547.14,5535.31,41.42
4.76,110.1,246.99,989.75,4513.1,533.86,6063.49,26.78
17.49,238.05,565.48,1450.63,5702.43,370.19,7573.77,50.52
2.02,32.4,72.89,459.63,3679.03,939.5,5088.28,10.12
10.63,180.68,217.88,435.76,3722.6,866.21,5056.46,31.89
22.39,741.06,599.49,2180.72,3736.99,3367.61,9454.95,169.63
14.78,244.29,670.27,1920.39,6338.4,692,8977.74,26.95
1.7,221.37,276.71,1179.23,3895.27,1099.19,6200.09,26.39
5.69,307.07,328.87,1594.12,4415.57,424.59,6474.08,39.81
91.09,810.28,1102.64,2216.55,3113.59,2258.2,8024.71,436.37
9.57,336.24,985.99,1373.68,4208.4,1571.12,7234.57,81.37
2.68,163.37,346.83,1388,5356.47,938.05,7720.02,37.5
0.0,21.99,32.99,395.91,1253.71,126.47,1792.59,16.5
